Tag,TextLength,Punctuation,NegativeKeywordRatio,PositiveClassCount,RelativeTagDepth,SimilarAncestorRatio,TextToTagRatio,PreviousClassification,Position,AncestorTags,Output
p,680,20,0,0,-1,0.8571429,85,True,0.07415241,65672,True
p,392,8,0,0,0,1,49,True,0.07471555,65672,True
a,29,1,0,0,1,0.8571429,3.222222,True,0.0751289,65672,True
p,18,0,0,0,-1,0.8571429,2.25,True,0.07515591,65672,True
a,25,0,0,0,1,0.8571429,2.777778,True,0.07529914,65672,True
p,63,1,0,0,-1,0.8571429,7.875,True,0.07532288,65672,True
a,7,0,0,0,1,0.8571429,0.7777778,True,0.07546285,65672,True
p,1,1,0,0,-1,0.8571429,0.125,True,0.07547186,65672,True
p,35,1,0,0,0,1,4.375,True,0.07547922,65672,True
a,32,0,0,0,1,0.8571429,3.555556,True,0.07558972,65672,True
p,206,6,0,0,-1,0.8571429,25.75,True,0.07561918,65672,True
p,309,7,0,0,0,1,38.625,True,0.07579435,65672,True
a,7,0,0,0,1,0.8571429,0.7777778,True,0.07612339,65672,True
em,9,0,0,0,1,0.875,0.9,True,0.07613239,65676,True
a,11,0,0,0,-1,0.875,1.222222,True,0.07614385,65672,True
p,86,1,0,0,-1,0.8571429,10.75,True,0.07615613,65672,True
span,9,0,0,0,5,0.5555556,0.6923077,True,0.07659813,33620096,False
span,35,0,0,0,2,0.7,2.333333,False,0.07788892,65664,True
a,47,3,0,0,1,0.9,2.9375,True,0.0780248,65664,True
span,216,4,0,0,-1,0.9,14.4,True,0.07806654,65664,False
span,283,6,0,0,0,1,18.86667,False,0.07872953,65664,True
a,20,2,0,0,1,0.9,1.25,True,0.07902502,65664,True
span,294,8,0,0,-1,0.9,19.6,True,0.07958161,65664,False
span,210,3,0,0,0,1,14,False,0.08031745,65664,True
a,41,0,0,0,1,0.9,2.5625,True,0.08058675,65664,True
span,13,1,0,0,-1,0.9,0.8666667,True,0.08062357,65664,False
span,301,8,0,0,0,1,20.06667,False,0.08112042,65664,False
span,21,0,0,0,0,1,1.4,False,0.08186035,65664,True
a,41,0,0,0,1,0.9,2.5625,True,0.0819684,65664,True
span,166,5,0,0,-1,0.9,11.06667,True,0.08200523,65664,False
span,37,1,0,0,0,1,2.466667,False,0.08263221,65664,True
a,31,0,0,0,1,0.9,1.9375,True,0.08272225,65664,True
span,70,1,0,0,-1,0.9,4.666667,True,0.08275089,65664,True
i,3,0,0,0,1,0.9,0.1875,True,0.08281065,67712,True
span,165,4,0,0,-1,0.9,11,True,0.08281638,65664,False
span,142,3,0,0,0,1,9.466666,False,0.08347528,65664,True
a,20,0,0,0,1,0.9,1.25,True,0.08367172,65664,True
span,141,3,0,0,-1,0.9,9.4,True,0.08369137,65664,False
span,137,1,0,0,0,1,9.133333,False,0.08430443,65664,True
a,21,0,0,0,1,0.9,1.3125,True,0.08450988,65664,True
span,74,1,0,0,-1,0.9,4.933333,True,0.08453034,65664,True
a,57,0,0,0,1,0.9,3.5625,True,0.0847055,65664,True
span,13,1,0,0,-1,0.9,0.8666667,True,0.08475544,65664,False
span,131,2,0,0,0,1,8.733334,False,0.08526209,65664,True
a,17,0,0,0,1,0.9,1.0625,True,0.08547572,65664,True
span,133,3,0,0,-1,0.9,8.866667,True,0.08549292,65664,False
span,252,6,0,0,0,1,16.8,False,0.08608961,65664,True
a,52,0,0,0,1,0.9,3.25,True,0.08635645,65664,True
span,13,1,0,0,-1,0.9,0.8666667,True,0.08640228,65664,False
span,48,0,0,0,0,1,3.2,False,0.08691385,65664,True
a,25,0,0,0,1,0.9,1.5625,True,0.08705054,65664,True
span,179,2,0,0,-1,0.9,11.93333,True,0.08707428,65664,True
a,43,0,0,0,1,0.9,2.6875,True,0.08731247,65664,True
span,13,1,0,0,-1,0.9,0.8666667,True,0.08735093,65664,False
a,4,0,1,0,-6,0.5,0.4444444,False,0.08827832,65536,False
h3,58,0,0,0,-1,0.5714286,7.25,False,0.08833888,65536,False
a,10,0,0,0,1,0.5714286,1.111111,False,0.0886712,65536,False
h3,48,0,0,0,-1,0.5714286,6,False,0.08873668,65536,False
a,13,0,0,0,1,0.5714286,1.444444,False,0.08908782,65536,False
h3,58,2,0,0,-1,0.5714286,7.25,False,0.08915576,65536,False
h4,19,3,0,0,2,0.5714286,1.9,False,0.09571124,536936448,False
span,6,0,0,0,-1,0.4444444,0.6666667,False,0.09697256,327680,False
a,12,0,0,0,1,0.6666667,1.2,False,0.09715509,327680,False
a,14,0,0,0,0,1,1.4,False,0.09725004,327680,False
a,13,0,0,0,0,1,1.3,False,0.09734581,327680,False
a,15,0,0,0,0,1,1.5,False,0.09744239,327680,False
a,26,0,0,0,0,1,2.6,False,0.09754471,327680,False
a,7,0,0,0,0,1,0.7,False,0.09767403,327680,False
a,6,0,0,0,0,1,0.6,False,0.09777226,327680,False
a,20,0,0,0,0,1,2,False,0.09784264,327680,False
a,5,0,0,0,0,1,0.5,False,0.0979204,327680,False
a,16,0,0,0,0,1,1.6,False,0.09798671,327680,False
span,27,0,0,0,-1,0.5555556,3,False,0.09811357,327680,False
a,43,1,0,0,1,0.8571429,4.3,False,0.09819297,327680,False
span,9,0,0,0,-1,1,1,False,0.09838859,327680,False
a,17,0,0,0,-1,0.8571429,2.125,False,0.1002843,327680,False
a,16,0,0,0,0,1,2,False,0.1003899,327680,False
div,19,0,0,0,-1,0.8333333,2.714286,False,0.1004062,327680,False
a,9,0,0,0,1,0.8333333,1.125,False,0.1004676,327680,False
div,42,2,0,0,-1,0.8333333,6,False,0.1004783,327680,False
h2,16,0,0,0,0,0.6666667,2.285714,False,0.1018763,65536,False
span,33,0,0,0,3,0.4444444,3.3,False,0.1024116,65536,False
span,34,0,0,0,0,1,3.4,False,0.1028781,65536,False
title,69,1,0,0,4,0,17.25,False,4.665527E-05,1077936128,False
a,20,0,0,0,0,0.3333333,5,False,0.03660719,0,False
title,5,0,0,0,2,0.4285714,0.8333333,False,0.03696571,88080384,False
title,4,0,0,0,0,1,0.6666667,False,0.0461838,88080384,False
title,10,1,0,0,0,1,1.666667,False,0.04639089,88080384,False
title,2,0,0,0,0,1,0.3333333,False,0.05294964,88080384,False
title,3,0,0,0,0,1,0.5,False,0.05337444,88080384,False
span,18,0,0,0,5,0.3,1.636364,False,0.05875944,2162688,False
h2,24,0,0,0,-2,0.625,2.666667,False,0.06084011,2162688,False
title,28,0,0,0,4,0.4545455,2.153846,False,0.06104473,23134208,False
title,27,0,0,0,0,1,2.076923,False,0.06123791,23134208,False
title,35,2,0,0,0,1,2.692308,False,0.06141716,23134208,False
span,17,0,0,0,-1,0.5454546,1.416667,False,0.06184115,2162688,False
a,6,0,0,0,1,0.6666667,0.4615385,False,0.0620867,2162688,False
a,7,0,0,0,0,1,0.5384616,False,0.0622725,2162688,False
h2,11,0,0,0,-2,0.5555556,1,False,0.06245176,2162688,False
span,6,0,0,0,1,0.625,0.5,False,0.06254998,35717120,False
title,6,0,0,0,1,0.6666667,0.4615385,False,0.06263265,56688640,False
h2,19,0,0,0,-3,0.5,1.9,False,0.06285692,2293760,False
a,48,0,0,0,2,0.6,4,False,0.06303863,2293760,False
a,51,0,0,0,0,1,4.25,False,0.06338159,2293760,False
a,51,0,0,0,0,1,4.25,False,0.06372946,2293760,False
a,52,0,0,0,0,1,4.333333,False,0.06407733,2293760,False
a,57,0,0,0,0,1,4.75,False,0.06444075,2293760,False
a,47,0,0,0,0,1,3.916667,False,0.06477388,2293760,False
a,50,0,0,0,0,1,4.166667,False,0.06497442,2293760,False
a,50,0,0,0,0,1,4.166667,False,0.06517741,2293760,False
a,53,0,0,0,0,1,4.416667,False,0.06539022,2293760,False
a,47,0,0,0,0,1,3.916667,False,0.06559076,2293760,False
a,28,0,0,0,0,1,2.333333,False,0.06579129,2293760,False
a,42,0,0,0,-1,0.7,3.818182,False,0.06663436,65536,False
a,5,0,0,0,3,1,0.3571429,False,0.06707636,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.06724252,65536,False
a,5,0,0,0,0,1,0.3571429,False,0.06740867,65536,False
a,8,0,1,0,0,1,0.5714286,False,0.06757647,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.06774508,65536,False
a,9,0,0,0,0,1,0.6428571,False,0.06807085,65536,False
a,7,0,0,0,0,1,0.5,False,0.0682411,65536,False
a,5,0,1,0,0,1,0.3571429,False,0.06841381,65536,False
a,2,0,0,0,0,1,0.1428571,False,0.06859634,65536,False
a,4,0,0,0,0,1,0.2857143,False,0.06875841,65536,False
a,13,0,0,0,0,1,0.9285714,False,0.06908663,65536,False
a,6,0,1,0,0,1,0.4285714,False,0.06925934,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.06942631,65536,False
a,7,0,1,0,0,1,0.5,False,0.06959411,65536,False
a,8,0,0,0,0,1,0.5714286,False,0.06976354,65536,False
a,8,0,1,0,-1,1,0.6153846,False,0.07000336,65536,False
a,45,0,0,0,-2,1,4.090909,False,0.07020799,65536,False
a,6,0,0,0,3,1,0.4285714,False,0.0706459,65536,False
a,7,0,0,0,0,1,0.5,False,0.0708186,65536,False
a,10,0,0,0,0,1,0.7142857,False,0.07099459,65536,False
a,7,0,0,0,0,1,0.5,False,0.07117056,65536,False
a,7,0,0,0,0,1,0.5,False,0.07150043,65536,False
a,12,0,0,0,0,1,0.8571429,False,0.07167722,65536,False
a,8,0,0,0,0,1,0.5714286,False,0.07185566,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.07202919,65536,False
a,11,0,0,0,0,1,0.7857143,False,0.07236478,65536,False
a,15,0,0,0,0,1,1.071429,False,0.07254321,65536,False
a,6,1,0,0,0,1,0.4285714,False,0.07271755,65536,False
a,10,0,0,0,0,1,0.7142857,False,0.07288781,65536,False
a,25,0,0,0,-1,1,1.923077,False,0.07313173,65536,False
a,45,0,0,0,-2,1,4.090909,False,0.07335027,65536,False
a,5,0,0,0,3,1,0.3571429,False,0.07379472,65536,False
a,5,0,1,0,0,1,0.3571429,False,0.07396006,65536,False
a,4,0,1,0,0,1,0.2857143,False,0.07412458,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.07428992,65536,False
a,6,0,1,0,0,1,0.4285714,False,0.07461323,65536,False
a,6,0,1,0,0,1,0.4285714,False,0.07478021,65536,False
a,11,0,0,0,0,1,0.7857143,False,0.07495128,65536,False
a,11,0,1,0,-1,1,0.8461539,False,0.07519601,65536,False
a,46,0,0,0,-2,1,4.181818,False,0.07540555,65536,False
a,7,0,0,0,3,1,0.5,False,0.07584018,65536,False
a,9,0,1,0,0,1,0.6428571,False,0.07601044,65536,False
a,5,0,0,0,0,1,0.3571429,False,0.07617905,65536,False
a,11,0,1,0,0,1,0.7857143,False,0.07650564,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.0766767,65536,False
a,8,0,0,0,0,1,0.5714286,False,0.0768445,65536,False
a,7,0,0,0,0,1,0.5,False,0.07717518,65536,False
a,11,0,0,0,0,1,0.7857143,False,0.07734707,65536,False
a,19,1,0,0,0,1,1.357143,False,0.07752714,65536,False
a,12,0,0,0,-1,1,0.9230769,False,0.07777924,65536,False
a,51,0,0,0,-2,1,4.636364,False,0.07800188,65536,False
a,4,0,0,0,3,1,0.2857143,False,0.07843815,65536,False
a,2,0,0,0,0,1,0.1428571,False,0.07860021,65536,False
a,5,0,0,0,0,1,0.3571429,False,0.0787631,65536,False
a,8,0,0,0,0,1,0.5714286,False,0.07908723,65536,False
a,15,0,0,0,0,1,1.071429,False,0.07926321,65536,False
a,5,0,0,0,0,1,0.3571429,False,0.07943673,65536,False
a,6,0,0,0,0,1,0.4285714,False,0.07975923,65536,False
a,5,0,0,0,0,1,0.3571429,False,0.07992538,65536,False
a,17,0,0,0,-1,1,1.307692,False,0.08017012,65536,False
a,39,0,0,0,-2,1,3.545455,False,0.08036902,65536,False
a,42,0,0,0,0,1,3.818182,False,0.08053681,65536,False
a,42,0,0,0,0,1,3.818182,False,0.08070707,65536,False
a,45,0,0,0,0,1,4.090909,False,0.08088714,65536,False
a,39,0,0,0,0,1,3.545455,False,0.08105493,65536,False
button,1,0,0,0,-1,0.6666667,0.1,False,0.08119654,33619968,False
p,12,0,0,0,0,0.4,1.2,False,0.08188327,65736,False
span,4,0,1,0,3,0.5454546,0.3076923,False,0.08205843,65728,False
span,8,0,1,0,0,1,0.6153846,False,0.08220658,65728,False
span,15,0,0,0,0,1,1.153846,False,0.08236619,65728,False
h1,57,0,0,0,-3,0.5454546,5.7,False,0.08250616,65728,False
a,10,1,0,0,2,0.75,0.8333333,False,0.08301773,65728,False
span,12,0,0,0,1,0.875,0.9230769,False,0.08322481,65728,False
span,8,0,1,0,0,1,0.6153846,False,0.08326901,65728,False
p,36,0,0,0,-4,0.6666667,4,False,0.08334513,65736,False
span,28,0,0,0,1,0.75,2.8,False,0.08343108,65728,False
span,10,0,0,0,3,0.875,0.7692308,False,0.08361278,65728,False
span,5,0,0,0,-2,0.875,0.4545455,False,0.08362997,65728,False
span,13,0,0,0,2,0.875,1,False,0.08373802,65728,False
time,43,2,0,0,-1,0.7777778,3.583333,False,0.08390091,65728,False
h2,16,0,0,0,-3,0.6666667,1.777778,False,0.08449105,65728,False
span,22,0,0,0,3,0.5454546,1.833333,False,0.08494697,65728,False
span,21,0,0,0,0,1,1.75,False,0.08549455,65728,False
span,5,0,1,0,0,1,0.4166667,False,0.08651196,65728,False
span,19,0,1,0,0,1,1.583333,False,0.08654716,65728,False
strong,5,0,1,0,0,0.5,0.4166667,False,0.08674442,66240,False
span,24,0,0,0,0,0.7777778,2,False,0.08678289,65728,False
span,57,0,0,0,0,1,4.75,False,0.08682218,65728,False
span,8,0,0,0,2,0.6363636,0.5714286,False,0.0879239,65728,False
span,6,0,1,0,0,1,0.4285714,False,0.08915167,65728,False
span,6,0,0,0,0,1,0.4285714,False,0.08981302,65728,False
span,9,0,0,0,0,1,0.6428571,False,0.09051859,65728,False
span,5,0,0,0,0,1,0.3571429,False,0.09103671,65728,False
figcaption,38,2,0,0,-3,0.5833333,3.454545,False,0.0950335,65984,False
p,115,3,0,0,-1,0.6,11.5,False,0.09515628,65736,True
a,33,0,0,0,1,0.875,3,True,0.09533226,65736,True
p,211,4,0,0,-1,0.875,21.1,True,0.09536255,65736,True
p,57,1,0,0,0,1,5.7,True,0.09555162,65736,True
a,20,0,0,0,1,0.875,1.818182,True,0.09567767,65736,True
em,7,0,0,0,1,0.8888889,0.5833333,True,0.09569732,65740,True
p,438,10,0,0,-2,0.7777778,43.8,True,0.09571042,65736,True
p,56,1,0,0,0,1,5.6,True,0.0960853,65736,True
em,5,0,0,0,1,0.875,0.4545455,True,0.09613441,65740,True
p,4,0,0,0,-1,0.875,0.4,True,0.09614259,65736,True
em,5,0,0,0,1,0.875,0.4545455,True,0.09614914,65740,True
p,71,2,0,0,-1,0.875,7.1,True,0.09615733,65736,True
a,23,0,0,0,1,0.875,2.090909,True,0.09630957,65736,True
p,66,1,0,0,-1,0.875,6.6,True,0.09633167,65736,True
a,12,1,0,0,1,0.875,1.090909,True,0.09647737,65736,True
p,9,0,0,0,-1,0.875,0.9,True,0.09649046,65736,True
em,4,0,0,0,1,0.875,0.3636364,True,0.0965011,65740,True
p,63,3,0,0,-1,0.875,6.3,True,0.09650847,65736,True
a,11,0,0,0,1,0.875,1,True,0.09665089,65736,True
p,97,1,0,0,-1,0.875,9.7,True,0.09666317,65736,True
a,21,0,0,0,1,0.875,1.909091,True,0.09682687,65736,True
p,1,1,0,0,-1,0.875,0.1,True,0.09684733,65736,True
p,155,2,0,0,0,1,15.5,True,0.09686452,65736,True
a,21,0,0,0,1,0.875,1.909091,True,0.09709207,65736,True
p,19,1,0,0,-1,0.875,1.9,True,0.09711253,65736,True
p,364,6,0,0,0,1,36.4,True,0.09714445,65736,True
p,99,3,0,0,0,1,9.9,True,0.09745876,65736,True
a,20,0,0,0,1,0.875,1.818182,True,0.0976372,65736,True
p,28,1,0,0,-1,0.875,2.8,True,0.09765684,65736,True
a,34,0,0,0,1,0.875,3.090909,True,0.09777717,65736,True
p,21,1,0,0,-1,0.875,2.1,True,0.09780826,65736,True
a,38,0,0,0,1,0.875,3.454545,True,0.09791958,65736,True
p,131,2,0,0,-1,0.875,13.1,True,0.09795396,65736,True
strong,18,0,0,0,2,0.7777778,1.5,True,0.09808738,66252,True
em,39,0,0,0,-1,0.8888889,3.545455,True,0.09811684,65740,True
p,8,1,0,0,-1,0.875,0.8,True,0.09815286,65736,True
h2,26,0,0,0,1,0.6666667,2.363636,True,0.1005937,65728,False
span,4,0,1,0,2,0.8,0.3076923,False,0.1006837,65728,False
span,32,0,0,0,1,0.6666667,2.285714,False,0.1017944,65728,False
span,101,3,0,0,2,0.75,6.3125,False,0.1041166,65728,False
span,58,0,0,0,0,1,3.625,False,0.1042598,65728,False
span,87,0,0,0,0,1,5.4375,False,0.1065565,65728,False
span,75,1,0,0,0,1,4.6875,False,0.1066883,65728,False
a,18,0,0,0,-4,0.7272727,1.5,False,0.1070436,65728,False
title,25,1,0,0,2,0.5454546,1.785714,False,0.1075216,21037248,False
span,65,0,0,0,-1,0.7,5,False,0.1079054,65728,False
h2,22,0,0,0,-1,0.875,1.833333,False,0.1079685,65728,False
p,57,2,0,0,0,0.75,4.75,False,0.1080364,65736,False
span,6,0,0,0,4,0.6,0.375,False,0.1085292,134283456,False
strong,10,2,0,0,1,0.9,0.5882353,False,0.1085848,134283968,False
div,40,1,0,0,-3,0.7,2.857143,False,0.1088574,65728,False
a,14,0,0,0,1,0.875,0.9333333,False,0.1089368,65728,False
div,68,1,0,0,-1,0.875,4.857143,False,0.1089515,65728,False
button,9,0,0,0,0,0.875,0.6428571,False,0.1090538,33620160,False
h4,19,3,0,0,-3,0.6,1.727273,False,0.1155774,536936640,False
span,6,0,0,0,-2,0.3636364,0.6666667,False,0.1168485,327680,False
a,12,0,0,0,1,0.6666667,1.2,False,0.1170311,327680,False
a,14,0,0,0,0,1,1.4,False,0.117126,327680,False
a,13,0,0,0,0,1,1.3,False,0.1172218,327680,False
a,15,0,0,0,0,1,1.5,False,0.1173184,327680,False
a,26,0,0,0,0,1,2.6,False,0.1174207,327680,False
a,7,0,0,0,0,1,0.7,False,0.11755,327680,False
a,6,0,0,0,0,1,0.6,False,0.1176482,327680,False
a,20,0,0,0,0,1,2,False,0.1177186,327680,False
a,5,0,0,0,0,1,0.5,False,0.1177964,327680,False
a,16,0,0,0,0,1,1.6,False,0.1178627,327680,False
span,27,0,0,0,-1,0.5555556,3,False,0.1179895,327680,False
a,43,1,0,0,1,0.8571429,4.3,False,0.1180689,327680,False
span,9,0,0,0,-1,1,1,False,0.1182646,327680,False
title,9,0,0,0,1,0.6666667,0.9,False,0.1184234,21299200,False
desc,15,1,0,0,0,0.7777778,1.5,False,0.1184569,17104896,False
a,17,0,0,0,-2,0.75,2.125,False,0.1195897,327680,False
a,16,0,0,0,0,1,2,False,0.1196953,327680,False
div,19,0,0,0,-1,0.8333333,2.714286,False,0.1197117,327680,False
a,9,0,0,0,1,0.8333333,1.125,False,0.1197731,327680,False
div,42,2,0,0,-1,0.8333333,6,False,0.1197837,327680,False
h2,16,0,0,0,0,0.6666667,2.285714,False,0.1211883,65536,False
span,33,0,0,0,3,0.4444444,3.3,False,0.1217481,65536,False
span,34,0,0,0,0,1,3.4,False,0.1222335,65536,False
title,35,1,0,0,4,0,8.75,False,4.665527E-05,1077936128,False
a,20,0,0,0,0,0.3333333,5,False,0.03608744,0,False
title,5,0,0,0,2,0.4285714,0.8333333,False,0.03644595,88080384,False
title,4,0,0,0,0,1,0.6666667,False,0.04566405,88080384,False
title,10,1,0,0,0,1,1.666667,False,0.04587113,88080384,False
title,2,0,0,0,0,1,0.3333333,False,0.05242988,88080384,False
title,3,0,0,0,0,1,0.5,False,0.05285469,88080384,False
cite,40,0,0,0,3,0.3,4.444445,False,0.06507673,65536,False
p,12,0,0,0,-1,0.5,1.5,False,0.06532884,65544,False
span,6,0,0,0,3,0.4444444,0.5454546,False,0.06550154,65536,False
h1,23,0,0,0,-4,0.4444444,3.285714,False,0.06558748,65536,False
span,28,0,0,0,1,0.6666667,3.5,False,0.06566525,65536,False
span,13,0,0,0,3,0.8333333,1.181818,False,0.06584941,65536,False
time,43,2,0,0,-1,0.7142857,4.3,False,0.06601229,65536,False
div,79,0,0,0,-1,0.8333333,8.777778,False,0.0661187,65536,False
h2,16,0,0,0,-1,0.5714286,2,False,0.06679561,65664,False
span,22,0,0,0,3,0.5,2,False,0.06723433,65664,False
span,21,0,0,0,0,1,1.909091,False,0.06777537,65664,False
span,5,0,1,0,0,1,0.4545455,False,0.06879278,65664,False
span,19,0,1,0,0,1,1.727273,False,0.06882798,65664,False
strong,5,0,1,0,0,0.4545455,0.4545455,False,0.06902524,66176,False
span,24,0,0,0,0,0.75,2.181818,False,0.06906371,65664,False
span,23,0,0,0,0,1,2.090909,False,0.069103,65664,False
span,8,0,0,0,2,0.6,0.6153846,False,0.07013024,65664,False
span,6,0,1,0,0,1,0.4615385,False,0.07134081,65664,False
span,6,0,0,0,0,1,0.4615385,False,0.07201281,65664,False
span,9,0,0,0,0,1,0.6923077,False,0.07270119,65664,False
span,5,0,0,0,0,1,0.3846154,False,0.073153,65664,False
span,7,0,0,0,-3,0.7777778,0.7,False,0.0735508,65664,False
a,39,1,0,0,-1,0.8571429,4.333333,False,0.07356226,65664,False
p,408,8,0,1,-1,0.7142857,51,False,0.07367358,65672,True
p,26,1,0,0,0,1,3.25,True,0.0740239,65672,True
p,170,3,0,0,0,1,21.25,True,0.07406155,65672,True
a,11,0,0,0,1,0.8571429,1.222222,True,0.07427928,65672,True
p,5,0,0,0,-1,0.8571429,0.625,True,0.07429156,65672,True
a,7,0,0,0,1,0.8571429,0.7777778,True,0.0743775,65672,True
p,22,0,0,0,-1,0.8571429,2.75,True,0.07438651,65672,True
a,4,0,0,0,1,0.8571429,0.4444444,True,0.07449046,65672,True
p,11,0,0,0,-1,0.8571429,1.375,True,0.074497,65672,True
a,5,0,0,0,1,0.8571429,0.5555556,True,0.0745854,65672,True
p,25,0,0,0,-1,0.8571429,3.125,True,0.07459277,65672,True
a,6,0,0,0,1,0.8571429,0.6666667,True,0.07470327,65672,True
p,15,1,0,0,-1,0.8571429,1.875,True,0.07471146,65672,True
a,16,0,0,0,1,0.8571429,1.777778,True,0.0748285,65672,True
p,43,1,0,0,-1,0.8571429,5.375,True,0.07484487,65672,True
a,5,0,0,0,1,0.8571429,0.5555556,True,0.07498156,65672,True
p,83,3,0,0,-1,0.8571429,10.375,True,0.07498893,65672,True
q,98,0,0,0,2,0.625,9.8,True,0.07511171,65696,False
p,243,5,0,0,-2,0.625,30.375,False,0.07521975,65672,True
a,9,0,0,0,1,0.8571429,1,True,0.07545303,65672,True
p,356,6,0,0,-1,0.8571429,44.5,True,0.07546367,65672,True
p,109,3,0,0,0,1,13.625,True,0.07577143,65672,True
a,23,0,0,0,1,0.8571429,2.555556,True,0.07595232,65672,True
p,101,1,0,0,-1,0.8571429,12.625,True,0.07597442,65672,True
em,2,0,0,0,1,0.8571429,0.2222222,True,0.07606036,65676,True
p,274,5,0,0,-1,0.8571429,34.25,True,0.07606609,65672,True
em,7,0,0,0,1,0.8571429,0.7777778,True,0.07629364,65676,True
p,82,2,0,0,-1,0.8571429,10.25,True,0.07630346,65672,True
a,22,0,0,0,1,0.8571429,2.444444,True,0.07646962,65672,True
p,95,3,0,0,-1,0.8571429,11.875,True,0.0764909,65672,True
p,19,1,0,0,2,1,1.9,True,0.08882508,65672,True
em,43,1,0,0,1,0.8571429,3.909091,True,0.0888439,65676,True
p,10,0,0,0,-1,0.8571429,1,True,0.0888832,65672,True
em,56,5,0,0,1,0.8571429,5.090909,True,0.08889466,65676,True
p,242,5,0,0,-3,0.8571429,30.25,True,0.08897159,65672,True
a,13,0,0,0,1,0.8571429,1.444444,True,0.08927935,65672,True
p,115,5,0,0,-1,0.8571429,14.375,True,0.08929327,65672,True
p,255,4,0,0,0,1,31.875,True,0.08940377,65672,True
em,4,0,0,0,1,0.8571429,0.4444444,True,0.08961576,65676,True
p,33,1,0,0,-1,0.8571429,4.125,True,0.08962313,65672,True
p,92,3,0,0,0,1,11.5,True,0.08966652,65672,True
a,11,0,0,0,1,0.8571429,1.222222,True,0.08984004,65672,True
p,721,18,0,0,-1,0.8571429,90.125,True,0.08985232,65672,True
p,284,8,0,0,0,1,35.5,True,0.09045883,65672,True
p,655,10,0,0,0,1,81.875,True,0.09070766,65672,True
em,113,3,0,0,3,0.5,10.27273,True,0.09495656,65924,True
cite,32,0,0,0,-1,0.7,3.2,True,0.09508753,65664,True
p,165,4,0,0,-2,0.5555556,20.625,True,0.09515956,65672,True
a,28,0,0,0,1,0.8571429,3.111111,True,0.09536664,65672,True
p,166,4,0,0,-1,0.8571429,20.75,True,0.09539283,65672,True
a,11,0,0,0,1,0.8571429,1.222222,True,0.09560483,65672,True
p,43,1,0,0,-1,0.8571429,5.375,True,0.09561711,65672,True
a,12,0,0,0,1,0.8571429,1.333333,True,0.09573743,65672,True
p,320,4,0,0,-1,0.8571429,40,True,0.09575053,65672,True
q,120,1,0,0,2,0.625,12,True,0.09606647,65696,False
p,356,9,0,0,-2,0.625,44.5,False,0.09619252,65672,True
p,212,6,0,0,0,1,26.5,True,0.09650028,65672,True
a,7,0,0,0,1,0.8571429,0.7777778,True,0.09676057,65672,True
p,226,6,0,0,-1,0.8571429,28.25,True,0.09676957,65672,True
p,59,3,0,0,0,1,7.375,True,0.09697093,65672,True
